5000 150000
1 4696
1 134
1 3510
1 2827
1 3975
1 1861
1 2284
1 3764
1 1894
1 3114
1 1398
1 1748
1 2911
1 3342
1 4814
1 147
1 1985
1 1432
1 440
1 3457
1 2750
1 823
1 75
1 4556
1 4898
1 954
1 287
1 4906
1 491
1 2077
2 118
2 1061
2 53
2 1021
2 3469
2 761
2 4144
2 875
2 1493
2 908
2 1868
2 950
2 2617
2 2032
2 2146
2 3626
2 4033
2 4944
2 1301
2 1537
2 2538
2 1091
2 1880
2 3921
2 2181
2 2677
2 929
2 1328
2 417
2 2044
2 3801
3 603
3 4604
3 1539
3 2271
3 1962
3 3125
3 3475
3 3589
3 1475
3 3557
3 1817
3 3143
3 2777
3 793
3 4474
3 542
3 4755
3 1405
3 3853
3 397
3 2422
3 1243
3 1170
3 617
3 3276
3 674
3 4057
3 658
3 471
3 4911
3 2147
3 2391
3 2448
3 1163
3 3929
4 2701
4 2124
4 1213
4 896
4 2620
4 1311
4 2605
4 3174
4 3085
4 605
4 4997
4 3769
4 2159
4 761
4 1786
4 819
4 4470
4 4340
4 746
4 2958
4 2779
4 3267
4 2690
4 1763
4 2358
4 3277
4 2334
5 1706
5 4276
5 2837
5 2195
5 4822
5 2301
5 2846
5 2017
5 2042
5 1318
5 562
5 1148
5 3288
5 1678
5 2695
5 1093
5 4078
5 1557
5 4420
5 2226
5 3210
5 3438
6 3357
6 1593
6 552
6 3439
6 3415
6 4602
6 341
6 1447
6 3651
6 2106
6 3960
6 4042
6 3920
6 2010
6 2124
6 2799
6 4832
6 457
6 4678
6 3727
6 4280
6 1182
6 1695
6 3980
6 2305
6 1200
6 1094
6 3583
6 3347
6 1136
6 1331
6 3104
6 1234
6 2885
7 1722
7 1592
7 1706
7 2381
7 3617
7 2902
7 4106
7 97
7 374
7 3570
7 3375
7 4213
7 1863
7 2839
7 50
7 3783
7 4516
7 3711
7 3345
7 939
7 3167
7 3737
7 4176
7 4209
7 2103
7 2998
8 3501
8 4851
8 1078
8 4575
8 2681
8 4308
8 356
8 1462
8 4040
8 3853
8 3097
8 495
8 3333
8 3496
8 3504
8 4407
8 2667
8 4204
8 3139
8 1635
8 4278
8 3286
8 635
8 4075
8 1961
8 2100
8 1458
8 4101
8 3036
8 1239
8 1296
9 3248
9 4509
9 2159
9 850
9 370
9 1997
9 2461
9 4893
9 3738
9 4658
9 4479
9 1910
9 2057
9 1675
