seed = 0
P1000-3000.dat,127,129,129,130,130,130,128,129,128,129,129,129,129,129,130,127,130,129,130,130,129,129,130,129,130,130,127,131,130,130,
P1000-3500.dat,162,163,164,165,162,163,163,165,164,165,165,163,166,165,164,164,162,167,164,166,163,165,165,166,165,164,163,166,164,164,
P1000-4000.dat,196,197,196,195,195,197,195,195,196,196,194,193,196,195,195,195,196,197,195,197,197,195,194,194,195,195,196,195,195,195,
P1000-4500.dat,234,234,230,233,235,231,234,234,234,234,233,234,233,231,235,234,234,231,230,234,238,233,231,237,230,232,230,235,236,236,
P1000-5000.dat,261,263,261,260,265,263,265,260,262,267,265,266,266,264,261,265,267,263,265,265,264,264,264,263,265,263,267,265,262,263,
P1000-10000.dat,477,477,478,484,478,481,481,477,478,475,482,476,479,477,481,473,481,477,478,483,478,481,477,475,482,477,481,480,480,477,
P1000-15000.dat,592,591,588,591,589,594,589,590,592,594,592,593,592,589,592,590,594,594,592,591,592,594,592,587,591,594,593,593,594,592,
P1000-20000.dat,667,662,665,666,661,658,659,663,664,661,663,665,661,664,663,664,659,661,663,662,664,664,663,661,660,658,663,665,661,662,
P1000-25000.dat,709,713,712,714,709,711,711,710,715,708,706,712,712,706,713,708,711,708,710,713,710,714,711,713,708,711,711,715,711,708,
P1000-30000.dat,750,751,751,752,753,750,749,753,748,754,751,753,752,755,748,753,749,753,750,751,750,750,749,752,751,748,750,751,750,749,
